,명칭,주소,위도,경도,분류
0,동원화랑,대구광역시 중구 봉산문화길 42,35.8620126066,128.598162657,문화시설_미술관
1,중앙갤러리,대구광역시 중구 봉산문화길 34(봉산동),35.8616320928,128.5981071169,문화시설_미술관
2,예송갤러리,대구광역시 중구 봉산문화길 56(봉산동),35.8625736428,128.5975960246,문화시설_미술관
3,신미화랑,대구광역시 중구 봉산문화길 34(봉산동),35.8616320928,128.5981071169,문화시설_미술관
4,가창창작스튜디오&스페이스 가창,대구광역시 달성군 가창면 가창로57길 46,35.7377194385,128.6583163709,문화시설_미술관
5,대백프라자갤러리,대구광역시 중구 명덕로 333(대봉동),35.8558412344,128.6063954369,문화시설_미술관
6,대구미술관,대구광역시 수성구 미술관로 40 대구미술관,35.8270707445,128.6743652541,문화시설_미술관
7,보이드 갤러리,대구광역시 중구 명륜로26길 79-2,35.8565354411,128.5977656222,문화시설_미술관
