,명칭,주소,위도,경도,분류
63,라겟옴,대구광역시 남구 앞산순환로87길 511층,35.8329071016,128.5728934691,음식점_카페
64,오마모리,대구광역시 남구 대명남로 167,35.8359873718,128.5763236372,음식점_카페
65,대봉정,대구광역시 중구 명덕로 249,35.8564049042,128.5979822734,음식점_카페
66,스테이블모먼트,대구광역시 달서구 조암남로32길 24,35.818854873,128.516268291,음식점_카페
67,SOUNDS COFFEE,대구광역시 중구 달구벌대로447길 19,35.8633765119,128.6074284699,음식점_카페
68,마고플레인 강정보점,대구광역시 달성군 강정본길 68-18,35.8442205082,128.4651498718,음식점_카페
69,"엔엘리오카페, 베이커리, 레스토랑",대구광역시 달성군 비슬로 1137,35.7335739489,128.4243481828,음식점_카페
70,레이틀리92,대구광역시 동구 초례로 6,35.8756305871,128.7525153541,음식점_카페
71,룰리커피,대구광역시 수성구 고모로 188,35.8565425061,128.6795556428,음식점_카페
72,르그랑팔레드 고바슨 수성점,대구광역시 수성구 용학로 106-7수성스퀘어 1층,35.8244394704,128.6193062845,음식점_카페
73,티아이티에프,대구광역시 동구 팔공산로 1169,35.9882833871,128.6927119045,음식점_카페
74,스테이블모먼트,대구광역시 북구 복현로8길 19-36,35.8973896672,128.6258203454,음식점_카페
75,초이스엠,대구광역시 동구 팔공산로 260,35.9929286227,128.6139492759,음식점_카페
76,인스퍼레이션디동촌유원지,대구광역시 동구 효동로6길 57,35.8832972478,128.6490909113,음식점_카페
77,앞산게장,대구광역시 남구 앞산순환로 4731층,35.8324322209,128.5764403928,음식점_카페
78,째미핑거,대구광역시 동구 팔공산로 1165-7,35.9888361031,128.6927563294,음식점_카페
79,커들포드,대구광역시 동구 팔공로 1334,35.9593650086,128.7232600252,음식점_카페
80,카펠라,대구광역시 남구 앞산순환로 449,35.8316128248,128.5740434042,음식점_카페
81,슬로우스톤,대구광역시 달성군 휴양림길 109,35.6880054202,128.4965847435,음식점_카페
82,트리팜,대구광역시 동구 서촌로 133,35.9859295611,128.6217876698,음식점_카페
