,명칭,주소,위도,경도,분류
0,"군위장 (3, 8일)",대구광역시 군위군 군위읍 중앙5길 12-8,36.2389498117,128.5668104006,쇼핑_5일장
1,"불로장 / 불로전통시장 (5, 10일)",대구광역시 동구 팔공로26길 9-1(불로동),35.9123382806,128.6423906901,쇼핑_5일장
2,"현풍장 (5, 10일)",대구광역시 달성군 현풍읍 비슬로130길 53-1,35.6947231113,128.4421643471,쇼핑_5일장
3,화원시장,대구광역시 달성군 화원읍 인흥길 33-4,35.8011760035,128.4991508433,쇼핑_5일장
